Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.616,79.826,0.0,0.204,0.919,0.419,0.106,-11.421,0.0331,2
0.716,131.975,0.0,0.729,0.0991,0.276,0.0842,-6.313,0.117,2
0.783,144.989,0.0,0.524,0.0404,0.153,0.087,-6.828,0.115,2
0.692,91.917,0.0,0.57,0.666,0.309,0.107,-8.077,0.185,2
0.684,81.0,0.000311,0.603,0.0275,0.504,0.191,-8.127,0.0989,2
0.656,97.022,0.0,0.432,0.443,0.0897,0.132,-9.481,0.217,2
0.749,90.028,0.0371,0.463,0.208,0.19,0.337,-8.433,0.0828,2
0.547,105.027,0.786,0.294,0.0607,0.11,0.0933,-10.202,0.0482,2
0.693,87.911,0.000465,0.489,0.112,0.435,0.0819,-9.811,0.0901,2
0.586,133.629,0.0,0.525,0.111,0.508,0.134,-7.163,0.0615,2
0.721,129.83,0.00153,0.339,0.409,0.2,0.0973,-11.195,0.0532,2
0.689,117.489,0.000905,0.394,0.711,0.382,0.0859,-10.102,0.065,2
0.545,103.553,7e-06,0.33,0.64,0.399,0.22,-11.719,0.164,2
0.556,143.95,0.0,0.538,0.0689,0.291,0.196,-5.408,0.0382,2
0.765,97.001,0.0,0.356,0.222,0.19,0.0963,-5.556,0.196,2
0.397,101.275,6.78e-05,0.172,0.841,0.123,0.108,-15.698,0.0445,2
0.524,75.24,0.0,0.364,0.808,0.436,0.1,-10.209,0.0367,2
0.61,192.099,0.000103,0.458,0.696,0.246,0.0852,-11.336,0.36,2
0.772,118.902,0.00612,0.256,0.491,0.357,0.144,-8.545,0.0481,2
0.6,141.96,0.00958,0.319,0.692,0.507,0.137,-10.272,0.294,2
0.655,75.003,5.36e-05,0.178,0.576,0.128,0.097,-12.522,0.0635,2
0.807,84.98,2.55e-06,0.346,0.0538,0.0608,0.087,-10.275,0.0613,2
0.766,116.02,0.0,0.271,0.037,0.0371,0.175,-5.697,0.0412,2
0.8,126.058,0.0,0.585,0.264,0.779,0.153,-7.343,0.0924,2
0.654,139.886,2.14e-05,0.325,0.74,0.39,0.152,-11.925,0.282,2
0.412,168.068,0.00124,0.254,0.649,0.332,0.0841,-17.448,0.0964,2
0.62,124.609,0.0,0.282,0.694,0.193,0.119,-10.533,0.0464,2
0.505,95.063,0.0,0.397,0.716,0.558,0.0853,-9.349,0.324,2
0.746,101.018,0.0,0.538,0.389,0.516,0.139,-6.479,0.32,2
0.658,114.078,5.27e-06,0.591,0.00959,0.326,0.325,-5.197,0.0309,2
0.699,98.04,1.17e-05,0.601,0.0972,0.434,0.562,-6.48,0.0304,2
0.659,74.037,6.95e-05,0.295,0.426,0.36,0.0795,-8.528,0.0322,2
0.766,97.04,0.0172,0.283,0.111,0.144,0.115,-10.33,0.0846,2
0.792,139.917,4.25e-05,0.605,0.00881,0.239,0.104,-6.566,0.0393,2
0.766,82.944,5.57e-06,0.548,0.775,0.424,0.1,-4.29,0.235,2
0.69,99.906,0.000144,0.235,0.618,0.378,0.107,-8.651,0.0541,2
0.41,77.226,0.0,0.726,0.203,0.552,0.107,-3.845,0.15,2
0.484,184.131,0.00214,0.716,0.3,0.365,0.112,-7.193,0.167,2
0.656,94.514,0.0,0.578,0.235,0.556,0.118,-8.97,0.0922,2
0.568,79.697,0.000618,0.368,0.321,0.0544,0.121,-12.486,0.447,2
0.769,123.954,0.000186,0.511,0.885,0.507,0.106,-6.673,0.0609,2
0.764,80.047,0.0249,0.262,0.455,0.29,0.104,-17.074,0.446,2
0.763,93.5,0.000689,0.516,0.0542,0.363,0.162,-9.267,0.115,2
0.472,111.558,0.000499,0.265,0.959,0.204,0.1,-10.059,0.0356,2
0.497,163.814,0.00167,0.489,0.111,0.0348,0.0912,-7.849,0.0413,2
0.422,57.0,0.00024,0.349,0.339,0.134,0.108,-12.424,0.315,2
0.828,133.999,0.000903,0.581,0.0423,0.145,0.109,-2.659,0.0429,2
0.538,132.639,0.0,0.449,0.344,0.27,0.157,-8.078,0.0463,2
0.652,120.073,0.0,0.549,0.317,0.186,0.104,-7.555,0.039,2
0.575,144.982,0.0,0.714,0.395,0.32,0.115,-5.247,0.0596,2
0.624,76.669,0.0,0.424,0.284,0.584,0.173,-8.237,0.24,2
0.694,119.906,2.04e-06,0.314,0.612,0.338,0.117,-7.82,0.117,2
0.709,122.043,0.0,0.362,0.157,0.113,0.109,-9.814,0.055,2
0.468,108.367,0.0,0.438,0.563,0.344,0.181,-8.227,0.0697,2
0.524,121.874,0.00131,0.468,0.099,0.149,0.112,-9.73,0.223,2
0.586,126.51,0.0,0.525,0.0705,0.491,0.0729,-8.968,0.498,2
0.722,91.367,0.00557,0.282,0.373,0.217,0.147,-7.484,0.106,2
0.566,143.015,0.0,0.465,0.0555,0.177,0.567,-11.714,0.235,2
0.537,96.931,0.0,0.528,0.0874,0.124,0.0855,-7.666,0.208,2
0.454,127.638,2.1e-06,0.791,0.107,0.791,0.108,-6.013,0.335,2
0.543,137.811,0.000239,0.394,0.695,0.118,0.108,-9.637,0.0864,2
0.598,120.06,0.138,0.252,0.193,0.0352,0.0992,-15.086,0.0647,2
0.585,132.986,9.54e-06,0.421,0.106,0.24,0.14,-9.593,0.0707,2
0.718,132.995,0.0,0.805,0.279,0.36,0.527,-5.257,0.325,2
0.588,193.893,7.55e-06,0.674,0.0319,0.198,0.122,-7.083,0.171,2
0.689,95.055,8.41e-05,0.521,0.119,0.178,0.108,-5.845,0.132,2
0.649,99.967,0.0,0.478,0.274,0.151,0.176,-7.503,0.0481,2
0.671,117.96,3.98e-05,0.672,0.103,0.186,0.074,-9.188,0.12,2
0.449,134.144,0.0,0.599,0.211,0.165,0.327,-4.892,0.0369,2
0.627,120.065,0.0464,0.187,0.949,0.266,0.0886,-16.576,0.0427,2
0.654,88.903,0.0,0.235,0.819,0.061,0.0891,-11.292,0.159,2
0.393,124.653,0.0137,0.0488,0.493,0.246,0.107,-16.975,0.0385,2
0.629,85.023,5.66e-06,0.584,0.0374,0.442,0.155,-7.846,0.0258,2
0.367,82.642,3.97e-05,0.111,0.978,0.198,0.0897,-14.084,0.0972,2
0.518,160.005,0.256,0.572,0.00715,0.347,0.139,-9.037,0.0291,2
0.526,164.938,6.54e-05,0.561,0.0929,0.293,0.103,-8.27,0.0429,2
0.681,124.038,0.0,0.582,0.22,0.221,0.119,-7.76,0.0313,2
0.626,102.169,3.55e-06,0.412,0.417,0.209,0.048,-7.339,0.0292,2
0.318,74.388,0.322,0.138,0.894,0.103,0.0861,-13.81,0.0298,2
0.436,117.482,0.00208,0.288,0.746,0.268,0.098,-10.726,0.0315,2
0.434,136.924,0.000164,0.286,0.533,0.122,0.105,-10.803,0.0296,2
0.252,75.056,0.676,0.314,0.942,0.2,0.0892,-18.197,0.0407,2
0.493,133.65,0.00134,0.414,0.0319,0.426,0.0878,-9.372,0.0258,2
0.426,56.968,0.0,0.445,0.183,0.347,0.661,-5.776,0.169,2
