,Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
30,0.517,160.065,0.902,0.131,0.986,0.283,0.14,-19.44,0.0348,1
31,0.608,119.969,0.926,0.213,0.967,0.598,0.113,-21.822,0.0445,1
32,0.577,100.051,0.936,0.275,0.99,0.306,0.112,-21.35,0.0438,1
33,0.58,99.954,0.949,0.231,0.991,0.18,0.109,-21.223,0.0475,1
34,0.425,119.997,0.927,0.0707,0.808,0.0698,0.114,-21.682,0.0426,1
35,0.524,159.929,0.892,0.371,0.963,0.504,0.0712,-20.653,0.0539,1
36,0.527,159.965,0.966,0.122,0.963,0.254,0.248,-15.584,0.0333,1
37,0.388,125.763,0.936,0.045,0.992,0.164,0.0921,-23.821,0.0466,1
38,0.41,77.368,0.931,0.139,0.986,0.182,0.097,-21.059,0.0549,1
39,0.529,78.626,0.864,0.0568,0.991,0.166,0.0943,-21.85,0.0748,1
40,0.355,142.201,0.878,0.152,0.988,0.325,0.141,-16.134,0.0385,1
41,0.496,139.966,0.849,0.0159,0.879,0.104,0.112,-24.978,0.037,1
42,0.544,100.019,0.912,0.284,0.984,0.503,0.116,-21.039,0.0443,1
43,0.526,160.037,0.927,0.157,0.989,0.228,0.143,-22.224,0.0399,1
44,0.587,100.009,0.913,0.177,0.992,0.174,0.109,-21.816,0.0414,1
45,0.216,70.065,0.883,0.0693,0.971,0.199,0.106,-23.719,0.0362,1
46,0.555,79.985,0.884,0.169,0.978,0.262,0.115,-20.727,0.0368,1
47,0.635,100.022,0.925,0.199,0.994,0.364,0.0889,-22.269,0.0453,1
48,0.58,100.002,0.839,0.0233,0.957,0.0657,0.104,-20.784,0.034,1
49,0.581,100.017,0.909,0.0261,0.964,0.0774,0.105,-20.342,0.0363,1
50,0.517,80.013,0.862,0.119,0.969,0.437,0.159,-21.845,0.0357,1
51,0.43,100.541,0.922,0.0597,0.703,0.14,0.237,-19.48,0.0421,1
52,0.458,99.953,0.878,0.0131,0.942,0.0744,0.111,-24.566,0.036,1
53,0.528,119.974,0.911,0.231,0.975,0.279,0.115,-20.735,0.0475,1
54,0.572,100.013,0.929,0.248,0.993,0.365,0.107,-23.921,0.0496,1
55,0.412,159.916,0.926,0.154,0.994,0.326,0.129,-20.039,0.0324,1
56,0.463,100.018,0.98,0.11,0.982,0.0688,0.0858,-18.625,0.037,1
57,0.593,140.002,0.917,0.117,0.968,0.322,0.108,-23.542,0.0375,1
58,0.449,96.439,0.827,0.055,0.987,0.397,0.162,-20.211,0.0462,1
59,0.369,76.216,0.91,0.0692,0.993,0.341,0.133,-18.754,0.0503,1
60,0.431,165.71,0.923,0.03,0.99,0.586,0.0971,-18.003,0.116,1
61,0.394,137.055,0.896,0.0289,0.99,0.233,0.118,-22.693,0.048,1
62,0.497,95.703,0.915,0.0396,0.995,0.276,0.0825,-20.431,0.067,1
63,0.587,124.31,0.92,0.029,0.994,0.0593,0.107,-19.659,0.0843,1
64,0.294,137.982,0.826,0.0933,0.992,0.12,0.0954,-20.664,0.0384,1
65,0.456,68.82,0.908,0.0302,0.992,0.344,0.112,-19.761,0.0548,1
66,0.261,78.852,0.86,0.274,0.973,0.327,0.173,-16.548,0.0498,1
67,0.44,99.874,0.849,0.0656,0.992,0.427,0.0905,-15.859,0.0957,1
68,0.389,80.586,0.889,0.0712,0.994,0.301,0.11,-18.486,0.0453,1
69,0.3,58.516,0.838,0.0559,0.988,0.281,0.117,-17.761,0.0438,1
70,0.399,102.419,0.893,0.0533,0.991,0.0515,0.106,-19.943,0.0392,1
71,0.471,136.224,0.852,0.145,0.993,0.398,0.0875,-17.571,0.0368,1
72,0.2,181.072,0.963,0.0398,0.992,0.0748,0.136,-25.086,0.0478,1
73,0.488,132.435,0.927,0.0439,0.992,0.268,0.0971,-20.945,0.106,1
74,0.334,204.175,0.936,0.139,0.988,0.116,0.167,-13.394,0.0463,1
75,0.387,65.465,0.925,0.0818,0.975,0.11,0.145,-17.681,0.0441,1
76,0.452,63.159,0.945,0.0969,0.986,0.331,0.107,-18.296,0.0402,1
77,0.157,165.25,0.862,0.144,0.991,0.229,0.117,-19.115,0.0392,1
78,0.417,69.627,0.917,0.0695,0.989,0.204,0.105,-19.163,0.0409,1
